candidate_id,target_id,host_name,rank,period_days,transit_time_bkjd,duration_hours,depth_fraction,depth_error_fraction,power,snr,feature_period_days,feature_duration_hours,feature_depth_fraction,feature_depth_error_fraction,feature_snr,feature_power,feature_duty_cycle,feature_odd_even_mismatch,feature_secondary_depth_fraction,feature_secondary_to_primary_ratio,feature_robust_scatter,feature_transit_count,feature_primary_point_count,rf_v2_probability,decision_threshold,model_pass,catalog_status,score_provenance,centroid_available,centroid_shift_pixels,centroid_shift_significance,centroid_in_transit_points,odd_even_status,secondary_eclipse_status,centroid_status,sanity_no_fail,global_rank,shortlist_rank,independent_confirmation_required,figure_path
3655287-r1,3655287,KIC 3655287,1,18.478278171187434,142.27907961063124,8.0,0.0002130397681972022,8.810215751594208e-06,24.180993315476147,24.180993315476147,18.478278171187434,8.0,0.0002130397681972022,8.810215751594208e-06,24.180993315476147,24.180993315476147,0.01803919879575625,0.05684905830141957,-1.0765555385816583e-05,-0.03982276583514486,0.0002703367071584877,17.0,274.0,0.9089239632946359,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.00425790463499824,0.14235370528114125,275,pass,pass,pass,True,1,1,True,reports/candidate_figures/rank_01_3655287-r1.png
3655287-r5,3655287,KIC 3655287,5,22.170293917725473,142.28324627729793,8.0,0.00021207012956452607,9.963831384165463e-06,21.28399421748026,21.28399421748026,22.170293917725473,8.0,0.00021207012956452607,9.963831384165463e-06,21.28399421748026,21.28399421748026,0.01503513370505334,0.2276115707727394,3.5625357572843797e-06,0.013130682344453871,0.00027131383303847275,13.0,214.0,0.9028967221272516,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.005230598057784254,0.14933789914984702,214,pass,pass,pass,True,2,2,True,reports/candidate_figures/rank_02_3655287-r5.png
6268872-r3,6268872,KIC 6268872,3,7.764579080879774,132.4961428939384,8.0,0.0001305170122811017,5.50876724482078e-06,23.692598812159087,23.692598812159087,7.764579080879774,8.0,0.0001305170122811017,5.50876724482078e-06,23.692598812159087,23.692598812159087,0.04292999399724893,0.12729227091238327,-1.0164095772591253e-05,-0.04774244288585399,0.00021289433799800088,39.0,652.0,0.900395366652998,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.0035549115204716246,0.06667841197164508,652,pass,pass,pass,True,3,3,True,reports/candidate_figures/rank_03_6268872-r3.png
1027740-r4,1027740,KIC 1027740,4,12.035808248966823,133.92102060069058,8.0,0.00026345859384247454,9.361992927119697e-06,28.14129383491534,28.14129383491534,12.035808248966823,8.0,0.00026345859384247454,9.361992927119697e-06,28.14129383491534,28.14129383491534,0.027695134920577295,0.2515701196465844,-1.9299750348311662e-05,-0.05630558212016981,0.0003427679747120152,23.0,371.0,0.9002917991458729,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.008275202507577335,0.042558229773363744,371,pass,pass,pass,True,4,4,True,reports/candidate_figures/rank_04_1027740-r4.png
8300900-r1,8300900,KIC 8300900,1,5.0902887821548015,125.1931263159781,8.0,0.00018134082612907693,4.668661850932899e-06,38.84214190685948,38.84214190685948,5.0902887821548015,8.0,0.00018134082612907693,4.668661850932899e-06,38.84214190685948,38.84214190685948,0.06548416948404014,0.022069617707357363,-2.192880708484779e-05,-0.08996508393772298,0.00024374797560382076,44.0,702.0,0.8921734778116763,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.00028801309399901435,0.0012118422576161147,705,pass,pass,pass,True,5,5,True,reports/candidate_figures/rank_05_8300900-r1.png
10124049-r2,10124049,KIC 10124049,2,15.28502658223747,126.41437768613832,8.0,0.0002706031249680792,8.391024522821194e-06,32.24911621127025,32.24911621127025,15.28502658223747,8.0,0.0002706031249680792,8.391024522821194e-06,32.24911621127025,32.24911621127025,0.021807834715884346,0.13699238814086578,5.366157221464718e-06,0.0167055343828671,0.00032122032725682536,15.0,241.0,0.8911037267316498,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.01038010145743802,0.1622152352415454,241,pass,pass,pass,True,6,6,True,reports/candidate_figures/rank_06_10124049-r2.png
8159207-r3,8159207,KIC 8159207,3,15.08363700953245,133.12248994956948,8.0,0.00020118327225734892,4.746357478713064e-06,42.38687733901959,42.38687733901959,15.08363700953245,8.0,0.00020118327225734892,4.746357478713064e-06,42.38687733901959,42.38687733901959,0.02209900258953962,0.36204665655393925,1.0691877870172561e-05,0.04455572486102629,0.00023996642190249592,15.0,227.0,0.8896963442639966,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.002610676793916683,0.009395354595639218,227,pass,pass,pass,True,7,7,True,reports/candidate_figures/rank_07_8159207-r3.png
8300900-r5,8300900,KIC 8300900,5,5.5065307632033065,123.77645964931143,8.0,0.0001259062292592051,4.944260567938296e-06,25.465128208586037,25.465128208586037,5.5065307632033065,8.0,0.0001259062292592051,4.944260567938296e-06,25.465128208586037,25.465128208586037,0.060534181623172076,0.2395915642264474,-1.5681101552811327e-05,-0.06356098782827754,0.00024670953187790116,39.0,622.0,0.8893816752036798,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.00014024879744015166,0.0007963479222638573,623,pass,pass,pass,True,8,8,True,reports/candidate_figures/rank_08_8300900-r5.png
11561399-r3,11561399,KIC 11561399,3,9.877735092726066,123.75537266398848,8.0,0.0001073532337585447,4.6247598331178516e-06,23.21271539114084,23.21271539114084,9.877735092726066,8.0,0.0001073532337585447,4.6247598331178516e-06,23.21271539114084,23.21271539114084,0.03374592760427428,0.08283012716498361,-6.574801708625344e-06,-0.04301867302952963,0.00015283599529237348,22.0,354.0,0.8842462605528723,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.007496165010433989,0.053604499261767455,354,pass,pass,pass,True,9,9,True,reports/candidate_figures/rank_09_11561399-r3.png
8163439-r1,8163439,KIC 8163439,1,14.151353533537408,125.84739361443548,8.0,0.00014516118633259957,4.3610801043661235e-06,33.28560422159421,33.28560422159421,14.151353533537408,8.0,0.00014516118633259957,4.3610801043661235e-06,33.28560422159421,33.28560422159421,0.02355487286381221,0.31024857054594235,2.186180051977349e-05,0.09206163512048496,0.00023746917476712232,14.0,221.0,0.8814081008100025,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.0013921122904651175,0.003834983761257834,221,pass,pass,pass,True,10,10,True,reports/candidate_figures/rank_10_8163439-r1.png
