target_id,id_type,host_name,catalog_host_name,target_selection_reason,planet_name,period_days,transit_depth_percent,transit_duration_hours,planet_radius_earth,ground_truth_missing_fields,catalog_source_table,catalog_retrieved_at_utc,light_curve_path,light_curve_points,download_from_cache,status,skip_reason
10593626,KIC,Kepler-22,Kepler-22,Longer-period benchmark,Kepler-22 b,289.863876,0.05019,7.415,2.1,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_10593626/mastDownload/Kepler/kplr010593626_lc_Q111111111111111111/kplr010593626-2011073133259_llc.fits,3279,True,available,
10593626,KIC,Kepler-22,Kepler-22,Longer-period benchmark,Kepler-22 b,289.863876,0.05019,7.415,2.1,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_10593626/mastDownload/Kepler/kplr010593626_lc_Q111111111111111111/kplr010593626-2011177032512_llc.fits,4768,True,available,
10593626,KIC,Kepler-22,Kepler-22,Longer-period benchmark,Kepler-22 b,289.863876,0.05019,7.415,2.1,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_10593626/mastDownload/Kepler/kplr010593626_lc_Q111111111111111111/kplr010593626-2011271113734_llc.fits,4573,True,available,
10593626,KIC,Kepler-22,Kepler-22,Longer-period benchmark,Kepler-22 b,289.863876,0.05019,7.415,2.1,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_10593626/mastDownload/Kepler/kplr010593626_lc_Q111111111111111111/kplr010593626-2012004120508_llc.fits,4754,True,available,
10593626,KIC,Kepler-22,Kepler-22,Longer-period benchmark,Kepler-22 b,289.863876,0.05019,7.415,2.1,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_10593626/mastDownload/Kepler/kplr010593626_lc_Q111111111111111111/kplr010593626-2012088054726_llc.fits,4044,True,available,
10593626,KIC,Kepler-22,Kepler-22,Longer-period benchmark,Kepler-22 b,289.863876,0.05019,7.415,2.1,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_10593626/mastDownload/Kepler/kplr010593626_lc_Q111111111111111111/kplr010593626-2012179063303_llc.fits,4421,True,available,
10593626,KIC,Kepler-22,Kepler-22,Longer-period benchmark,Kepler-22 b,289.863876,0.05019,7.415,2.1,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_10593626/mastDownload/Kepler/kplr010593626_lc_Q111111111111111111/kplr010593626-2012277125453_llc.fits,4757,True,available,
10593626,KIC,Kepler-22,Kepler-22,Longer-period benchmark,Kepler-22 b,289.863876,0.05019,7.415,2.1,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_10593626/mastDownload/Kepler/kplr010593626_lc_Q111111111111111111/kplr010593626-2013011073258_llc.fits,4780,True,available,
10593626,KIC,Kepler-22,Kepler-22,Longer-period benchmark,Kepler-22 b,289.863876,0.05019,7.415,2.1,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_10593626/mastDownload/Kepler/kplr010593626_lc_Q111111111111111111/kplr010593626-2013098041711_llc.fits,4203,True,available,
10593626,KIC,Kepler-22,Kepler-22,Longer-period benchmark,Kepler-22 b,289.863876,0.05019,7.415,2.1,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_10593626/mastDownload/Kepler/kplr010593626_lc_Q111111111111111111/kplr010593626-2013131215648_llc.fits,1556,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2009131105131_llc.fits,476,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2009166043257_llc.fits,1639,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2009259160929_llc.fits,4354,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2009350155506_llc.fits,4370,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2010078095331_llc.fits,4397,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2010174085026_llc.fits,4634,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2010265121752_llc.fits,4398,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2010355172524_llc.fits,4375,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2011073133259_llc.fits,3279,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2011177032512_llc.fits,4768,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2011271113734_llc.fits,4573,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2012004120508_llc.fits,4754,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2012088054726_llc.fits,4044,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2012179063303_llc.fits,4421,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2012277125453_llc.fits,4757,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2013011073258_llc.fits,4780,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2013098041711_llc.fits,4203,True,available,
5780885,KIC,Kepler-7,Kepler-7,Deep hot-Jupiter transit,Kepler-7 b,4.8854892,0.75693,5.1313,18.180998,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_5780885/mastDownload/Kepler/kplr005780885_lc_Q111111111111111111/kplr005780885-2013131215648_llc.fits,1556,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2009131105131_llc.fits,476,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2009166043257_llc.fits,1639,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2009259160929_llc.fits,4354,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2009350155506_llc.fits,4370,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2010078095331_llc.fits,4397,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2010174085026_llc.fits,4634,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2010265121752_llc.fits,4398,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2010355172524_llc.fits,4375,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2011073133259_llc.fits,3279,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2011177032512_llc.fits,4768,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2011271113734_llc.fits,4573,True,available,
6922244,KIC,Kepler-8,Kepler-8,Hot-Jupiter benchmark,Kepler-8 b,3.5224991,0.91457,3.19061,15.871944,,pscomppars,2026-08-25T01:04:02.309843+00:00,data/raw/kepler/kic_6922244/mastDownload/Kepler/kplr006922244_lc_Q111111111111111111/kplr006922244-2012004120508_llc.fits,4754,True,available,
