threshold,precision,recall,meets_review_recall_floor
0.0,0.101930848675348,1.0,True
3.726981834262233e-09,0.10197663971248877,1.0,True
2.0020692659272754e-08,0.10202247191011236,1.0,True
1.2267422278000595e-07,0.10206834532374101,1.0,True
1.3213496004027547e-06,0.10211426000899686,1.0,True
1.3724891232413938e-06,0.10216021602160216,1.0,True
1.7336318478555768e-06,0.10220621341737957,1.0,True
1.947180862771347e-06,0.10225225225225225,1.0,True
2.8446163469197927e-06,0.10229833258224426,1.0,True
3.0222902296372922e-06,0.10234445446348062,1.0,True
3.266475005148095e-06,0.10239061795218764,1.0,True
3.4840911666833563e-06,0.10243682310469314,1.0,True
3.696499788929941e-06,0.10248306997742664,1.0,True
5.6395706451439764e-06,0.1025293586269196,1.0,True
5.734983005822869e-06,0.10257568910980569,1.0,True
7.405232736346079e-06,0.10262206148282098,1.0,True
8.120828169921879e-06,0.10266847580280417,1.0,True
8.868291843100451e-06,0.10271493212669683,1.0,True
9.525095265416894e-06,0.10276143051154368,1.0,True
1.0427436791360378e-05,0.10280797101449275,1.0,True
1.1283374988124706e-05,0.10285455369279566,1.0,True
1.1460469977464527e-05,0.10290117860380779,1.0,True
1.2114798664697446e-05,0.10294784580498866,1.0,True
1.2834472727263346e-05,0.10299455535390199,1.0,True
1.4974239093135111e-05,0.10304130730821606,1.0,True
1.5474161045858636e-05,0.1030881017257039,1.0,True
1.589579005667474e-05,0.10313493866424353,1.0,True
1.6366540876333602e-05,0.10318181818181818,1.0,True
1.701640576357022e-05,0.10322874033651659,1.0,True
1.8544687918620184e-05,0.10327570518653321,1.0,True
2.1163037672522478e-05,0.10332271279016841,1.0,True
2.130988650606014e-05,0.10336976320582877,1.0,True
2.138186937372666e-05,0.10341685649202734,1.0,True
2.1504625692614354e-05,0.10346399270738377,1.0,True
2.2296160750556737e-05,0.10351117191062471,1.0,True
2.3649468857911415e-05,0.10355839416058395,1.0,True
2.4759923689998686e-05,0.10360565951620265,1.0,True
2.5584389732102863e-05,0.10365296803652968,1.0,True
2.924391628766898e-05,0.10370031978072179,1.0,True
3.148428368149325e-05,0.10374771480804387,1.0,True
3.99437194573693e-05,0.10379515317786922,1.0,True
4.186420846963301e-05,0.10384263494967978,1.0,True
4.451164568308741e-05,0.10389016018306636,1.0,True
4.4523359974846244e-05,0.10393772893772894,1.0,True
4.537575659924187e-05,0.10398534127347686,1.0,True
4.588723095366731e-05,0.10403299725022915,1.0,True
4.641430132323876e-05,0.10408069692801467,1.0,True
4.7240817366400734e-05,0.10412844036697248,1.0,True
4.780854578712024e-05,0.104176227627352,1.0,True
4.8334539314964786e-05,0.10422405876951331,1.0,True
5.132700607646257e-05,0.10427193385392743,1.0,True
5.3324834880186245e-05,0.10431985294117647,1.0,True
5.490345574798994e-05,0.10436781609195403,1.0,True
5.6013559515122324e-05,0.10441582336706531,1.0,True
5.6646778830327094e-05,0.10446387482742751,1.0,True
5.9265035815769807e-05,0.10451197053406998,1.0,True
6.001913789077662e-05,0.1045601105481345,1.0,True
6.35959513601847e-05,0.10460829493087558,1.0,True
6.997484888415784e-05,0.10465652374366068,1.0,True
7.079909119056538e-05,0.10470479704797048,1.0,True
7.473467849195004e-05,0.10475311490539917,1.0,True
7.500434730900452e-05,0.10480147737765466,1.0,True
7.715325045865029e-05,0.1048498845265589,1.0,True
7.800682942615822e-05,0.10489833641404805,1.0,True
7.858815661165863e-05,0.10494683310217291,1.0,True
7.877108146203682e-05,0.10499537465309898,1.0,True
7.892341818660498e-05,0.1050439611291069,1.0,True
7.953205931698903e-05,0.1050925925925926,1.0,True
8.049335156101733e-05,0.10514126910606762,1.0,True
8.29011041787453e-05,0.10518999073215941,1.0,True
8.495131623931229e-05,0.10523875753361149,1.0,True
8.720012556295842e-05,0.10528756957328386,1.0,True
9.20925522223115e-05,0.10533642691415314,1.0,True
9.391589992446825e-05,0.1053853296193129,1.0,True
9.875246178125963e-05,0.10543427775197399,1.0,True
9.904311446007341e-05,0.10548327137546469,1.0,True
0.00010405216016806662,0.10553231055323105,1.0,True
0.00011853735486511141,0.1055813953488372,1.0,True
0.00012146032531745732,0.10563052582596556,1.0,True
0.00012292963219806552,0.10567970204841713,1.0,True
0.00012466704356484115,0.10572892408011178,1.0,True
0.0001332398533122614,0.10577819198508853,1.0,True
0.0001344833435723558,0.10582750582750583,1.0,True
0.00014034716878086329,0.10587686567164178,1.0,True
0.00014291738625615835,0.10592627158189453,1.0,True
0.00014528677274938673,0.10597572362278244,1.0,True
0.00014843455574009567,0.10602522185894442,1.0,True
0.0001521040830994025,0.10607476635514018,1.0,True
0.00015243890811689198,0.10612435717625059,1.0,True
0.00016191162285394967,0.10617399438727783,1.0,True
0.0001629614271223545,0.10622367805334582,1.0,True
0.00016328977653756738,0.10627340823970037,1.0,True
0.0001642070710659027,0.1063231850117096,1.0,True
0.000186490171472542,0.10637300843486411,1.0,True
0.0002029627503361553,0.10642287857477731,1.0,True
0.00020701454195659608,0.10647279549718575,1.0,True
0.00020914353081025183,0.10652275926794932,1.0,True
0.00021066397312097251,0.10657276995305165,1.0,True
0.00022006183280609548,0.10662282761860029,1.0,True
0.00022856790747027844,0.10667293233082707,1.0,True
0.0002285938389832154,0.10672308415608839,1.0,True
0.00023069976305123419,0.10677328316086547,1.0,True
0.00024322218087036163,0.1068235294117647,1.0,True
0.0002473611384630203,0.1068738229755179,1.0,True
0.000250438810326159,0.10692416391898257,1.0,True
0.0002615755656734109,0.10697455230914232,1.0,True
0.0002719206386245787,0.10702498821310702,1.0,True
0.00027614127611741424,0.10707547169811321,1.0,True
0.00029852997977286577,0.1071260028315243,1.0,True
0.00030028322362340987,0.10717658168083097,1.0,True
0.0003015986876562238,0.10722720831365139,1.0,True
0.00031764479354023933,0.10727788279773157,1.0,True
0.000322512787533924,0.10732860520094563,1.0,True
0.00032681229640729725,0.10737937559129612,1.0,True
0.00034823224996216595,0.10743019403691434,1.0,True
0.0003567524254322052,0.10748106060606061,1.0,True
0.00038060592487454414,0.10753197536712458,1.0,True
0.00038528675213456154,0.10758293838862559,1.0,True
0.00038597971433773637,0.10763394973921289,1.0,True
0.0003884666075464338,0.10768500948766603,1.0,True
0.00043366249883547425,0.10773611770289511,1.0,True
0.00044158994569443166,0.10778727445394112,1.0,True
0.00044363332563079894,0.10783847980997625,1.0,True
0.0004542972892522812,0.10788973384030419,1.0,True
0.00045495864469558,0.10794103661436044,1.0,True
0.00046548651880584657,0.10799238820171266,1.0,True
0.00046937388833612204,0.10804378867206092,1.0,True
0.0005613369285129011,0.10809523809523809,1.0,True
0.0005815571057610214,0.1081467365412101,1.0,True
0.00058335269568488,0.10819828408007626,1.0,True
0.0006359594408422709,0.10824988078206962,1.0,True
0.0006419873679988086,0.10830152671755726,1.0,True
0.000649256631731987,0.10835322195704057,1.0,True
0.0006500912713818252,0.10840496657115568,1.0,True
0.0006655675242654979,0.10845676063067368,1.0,True
0.00069163937587291,0.10850860420650095,1.0,True
0.0007113280007615685,0.10856049736967958,1.0,True
0.0007529613794758916,0.10861244019138756,1.0,True
0.000757373112719506,0.1086644327429392,1.0,True
0.0008129675406962633,0.10871647509578544,1.0,True
0.0008202349417842925,0.10876856732151413,1.0,True
0.0008805856923572719,0.10882070949185044,1.0,True
0.0009048277279362082,0.10887290167865707,1.0,True
0.0009123673080466688,0.10892514395393474,1.0,True
0.0009124751086346805,0.10897743638982237,1.0,True
0.0009319005184806883,0.10902977905859751,1.0,True
0.0009505285415798426,0.1090821720326766,1.0,True
0.0009656146867200732,0.10913461538461539,1.0,True
0.0010118609061464667,0.1091871091871092,1.0,True
0.0010586213320493698,0.10923965351299326,1.0,True
0.0010741781443357468,0.10929224843524314,1.0,True
0.0011606008047237992,0.10934489402697495,1.0,True
0.0011728761019185185,0.10939759036144578,1.0,True
0.0011831523152068257,0.109450337512054,1.0,True
0.001201936393044889,0.1095031355523396,1.0,True
0.0012867694022133946,0.10955598455598456,1.0,True
0.0013545042602345347,0.10960888459681313,1.0,True
0.001394636812619865,0.10966183574879228,1.0,True
0.0014062330592423677,0.1097148380860319,1.0,True
0.001452665776014328,0.10976789168278529,1.0,True
0.0014702610205858946,0.10982099661344945,1.0,True
0.0014847205020487309,0.10987415295256535,1.0,True
0.001558904885314405,0.1099273607748184,1.0,True
0.0015731225721538067,0.10998062015503876,1.0,True
0.0015770482132211328,0.11003393116820165,1.0,True
0.0017152627697214484,0.11008729388942774,1.0,True
0.0017255832208320498,0.1101407083939835,1.0,True
0.0018139646854251623,0.11019417475728155,1.0,True
0.001826900988817215,0.11024769305488101,1.0,True
0.0018422103021293879,0.11030126336248786,1.0,True
0.001872179564088583,0.11035488575595527,1.0,True
0.0018836053786799312,0.11040856031128404,1.0,True
0.00202248920686543,0.11046228710462287,1.0,True
0.00203448417596519,0.11051606621226874,1.0,True
0.0021352546755224466,0.11056989771066732,1.0,True
0.00215010903775692,0.11062378167641325,1.0,True
0.002178516238927841,0.1106777181862506,1.0,True
0.0022276348900049925,0.11073170731707317,1.0,True
0.0022448694799095392,0.11078574914592484,1.0,True
0.002250795252621174,0.11083984375,1.0,True
0.0022920919582247734,0.11089399120664387,1.0,True
0.002321224892511964,0.11094819159335288,1.0,True
0.002361919032409787,0.11100244498777506,1.0,True
0.0023706250358372927,0.11105675146771037,1.0,True
0.0023921155370771885,0.1111111111111111,1.0,True
0.0024113617837429047,0.11116552399608227,1.0,True
0.002448011189699173,0.11121999020088193,1.0,True
0.0024732197634875774,0.11127450980392156,1.0,True
0.0024964537005871534,0.11132908288376656,1.0,True
0.002533277031034231,0.11138370951913641,1.0,True
0.0027064287569373846,0.11143838978890526,1.0,True
0.0029114435892552137,0.11149312377210216,1.0,True
0.002915021264925599,0.11154791154791155,1.0,True
0.003168902825564146,0.11160275319567355,1.0,True
0.0031787718180567026,0.1116576487948844,1.0,True
0.0031799671705812216,0.11171259842519685,1.0,True
0.003244029590860009,0.11176760216642048,1.0,True
0.0033897508401423693,0.11182266009852217,1.0,True
0.003531329333782196,0.11187777230162642,1.0,True
0.003726779483258724,0.11193293885601578,1.0,True
0.003732284065335989,0.11198815984213123,1.0,True
0.0037485870998352766,0.11204343534057255,1.0,True
0.003759690560400486,0.11209876543209876,1.0,True
0.003770887851715088,0.11215415019762846,1.0,True
0.003825143212452531,0.11220958971824024,1.0,True
0.004044134635478258,0.11226508407517309,1.0,True
0.004085981287062168,0.11232063334982682,1.0,True
0.004234545864164829,0.11237623762376238,1.0,True
0.00424292404204607,0.11243189697870233,1.0,True
0.004243269097059965,0.11248761149653122,1.0,True
0.004360874183475971,0.11254338125929599,1.0,True
0.004774265922605991,0.11259920634920635,1.0,True
0.004792507737874985,0.11265508684863523,1.0,True
0.005091469269245863,0.11271102284011916,1.0,True
0.005191119387745857,0.11276701440635867,1.0,True
0.00524575961753726,0.11282306163021869,1.0,True
0.005272564012557268,0.11287916459472899,1.0,True
0.005291057284921408,0.11293532338308458,1.0,True
0.005297905765473843,0.11299153807864609,1.0,True
0.0054719774052500725,0.11304780876494024,1.0,True
0.005650414619594812,0.11310413552566019,1.0,True
0.005733092315495014,0.113160518444666,1.0,True
0.005751896183937788,0.11321695760598503,1.0,True
0.005766438320279121,0.11327345309381237,1.0,True
0.005815735086798668,0.11333000499251124,1.0,True
0.0058652604930102825,0.11338661338661339,1.0,True
0.00592968100681901,0.11344327836081959,1.0,True
0.006046605296432972,0.1135,1.0,True
0.006151872221380472,0.1135567783891946,1.0,True
0.00621209479868412,0.11361361361361362,1.0,True
0.0062774172984063625,0.11367050575863796,1.0,True
0.006326121278107166,0.11372745490981964,1.0,True
0.0065959482453763485,0.11378446115288221,1.0,True
0.006605678703635931,0.11384152457372117,1.0,True
0.006805845070630312,0.11389864525840442,1.0,True
0.006839833687990904,0.11395582329317269,1.0,True
0.006857678759843111,0.11401305876443998,1.0,True
0.007000508718192577,0.11407035175879397,1.0,True
0.007142471615225077,0.11412770236299648,1.0,True
0.007687670178711414,0.1141851106639839,1.0,True
0.007943417876958847,0.11424257674886763,1.0,True
0.008058656007051468,0.11430010070493454,1.0,True
0.008158466778695583,0.11435768261964735,1.0,True
0.008218126371502876,0.11441532258064516,1.0,True
0.008288172073662281,0.11447302067574382,1.0,True
0.008386029861867428,0.11453077699293643,1.0,True
0.008945112116634846,0.11458859162039374,1.0,True
0.00902397558093071,0.11464646464646465,1.0,True
0.009187228046357632,0.1147043961596766,1.0,True
0.009282872080802917,0.1147623862487361,1.0,True
0.009354524314403534,0.11482043500252909,1.0,True
0.009531771764159203,0.11487854251012146,1.0,True
0.009730488993227482,0.11493670886075949,1.0,True
0.009801086038351059,0.11499493414387031,1.0,True
0.00987139344215393,0.11505321844906234,1.0,True
0.009910543449223042,0.11511156186612576,1.0,True
0.01010940968990326,0.11516996448503297,1.0,True
0.010172332637012005,0.11522842639593908,1.0,True
0.01050740946084261,0.11528694768918232,1.0,True
0.010871579870581627,0.11534552845528455,1.0,True
0.011014292016625404,0.1154041687849517,1.0,True
0.011144324205815792,0.11546286876907426,1.0,True
0.011715728789567947,0.11552162849872774,1.0,True
0.011717800050973892,0.11558044806517312,1.0,True
0.01185731589794159,0.11563932755985736,1.0,True
0.012059936299920082,0.11569826707441386,1.0,True
0.012196269817650318,0.11575726670066293,1.0,True
0.012505670078098774,0.11581632653061225,1.0,True
0.012597190216183662,0.11587544665645738,1.0,True
0.012925744988024235,0.11593462717058223,1.0,True
0.013458281755447388,0.11599386816555952,1.0,True
0.013969246298074722,0.11605316973415133,1.0,True
0.014742370694875717,0.11611253196930946,1.0,True
0.014785852283239365,0.11617195496417605,1.0,True
0.014897437766194344,0.11623143881208398,1.0,True
0.015448495745658875,0.11629098360655737,1.0,True
0.015675591304898262,0.11635058944131214,1.0,True
0.01569974236190319,0.11641025641025642,1.0,True
0.01618456467986107,0.11646998460749101,1.0,True
0.0162009559571743,0.11652977412731007,1.0,True
0.016321836039423943,0.11658962506420134,1.0,True
0.016412295401096344,0.11664953751284686,1.0,True
0.016831958666443825,0.1167095115681234,1.0,True
0.0169554203748703,0.11676954732510288,1.0,True
0.017260948196053505,0.11682964487905301,1.0,True
0.017398253083229065,0.11688980432543769,1.0,True
0.017613345757126808,0.11695002575991757,1.0,True
0.017755405977368355,0.11701030927835052,1.0,True
0.01799723133444786,0.11707065497679216,1.0,True
0.0188546571880579,0.11713106295149639,1.0,True
0.01977013237774372,0.11719153329891585,1.0,True
0.019887777045369148,0.11725206611570248,1.0,True
0.01996176317334175,0.117312661498708,1.0,True
0.020350201055407524,0.11737331954498449,1.0,True
0.0205837395042181,0.11743404035178479,1.0,True
0.02068321406841278,0.11749482401656315,1.0,True
0.021526508033275604,0.11755567063697565,1.0,True
0.022394675761461258,0.11761658031088083,1.0,True
0.02263455279171467,0.11767755313634007,1.0,True
0.02271595597267151,0.11773858921161826,1.0,True
0.022802017629146576,0.11779968863518422,1.0,True
0.023249417543411255,0.11786085150571132,1.0,True
0.023403538390994072,0.11792207792207793,1.0,True
0.024251798167824745,0.11798336798336799,1.0,True
0.025019172579050064,0.11804472178887156,1.0,True
0.02530335821211338,0.11810613943808533,1.0,True
0.025337573140859604,0.11816762103071317,1.0,True
0.025821354240179062,0.11822916666666666,1.0,True
0.026191337034106255,0.11829077644606566,1.0,True
0.026742052286863327,0.11835245046923878,1.0,True
0.02843679115176201,0.11841418883672405,1.0,True
0.02884247712790966,0.11847599164926931,1.0,True
0.028955431655049324,0.1185378590078329,1.0,True
0.030463123694062233,0.11859979101358412,1.0,True
0.03051729127764702,0.11866178776790381,1.0,True
0.03063204139471054,0.11872384937238493,1.0,True
0.031104497611522675,0.11878597592883307,1.0,True
0.03165411949157715,0.11884816753926701,1.0,True
0.03201960027217865,0.11891042430591933,1.0,True
0.03343338519334793,0.1189727463312369,1.0,True
0.03360702097415924,0.11851074986890404,0.9955947136563876,True
0.03441106900572777,0.11857292759706191,0.9955947136563876,True
0.03481696918606758,0.11863517060367454,0.9955947136563876,True
0.036150623112916946,0.11869747899159663,0.9955947136563876,True
0.03884546086192131,0.1187598528638991,0.9955947136563876,True
0.03969486057758331,0.11882229232386961,0.9955947136563876,True
0.04002232849597931,0.11888479747501315,0.9955947136563876,True
0.040454499423503876,0.11894736842105263,0.9955947136563876,True
